destino,siguiente_salto,costo,ip,puerto
ATM1,R2,3,100.119.213.97,5002
R5,R2,2,100.119.213.97,5002
R2,R2,1,100.119.213.97,5002
BANK1,R4,2,100.71.208.101,5004
R1,R2,2,100.119.213.97,5002
R4,R4,1,100.71.208.101,5004
R6,R2,3,100.119.213.97,5002
